自治体名,自治体コード,施設名,ふりがな,住所,管理担当連絡先,指定緊急避難場所との重複指定,福祉避難所,想定収容人数,緯度（度：世界測地系）,経度(度：世界測地系）
佐野市,92045,佐野小学校,さのしょうがっこう,佐野市金屋下町10,0283-23-0374,1,,"1,290",36.31094252,139.5812809
佐野市,92045,天明小学校,てんみょうしょうがっこう,佐野市大祝町2311,0283-23-0237,1,,"1,250",36.30914826,139.5767032
佐野市,92045,西中学校,にしちゅうがっこう,佐野市大橋町2026,0283-23-3381,1,,"1,530",36.31468054,139.5618849
佐野市,92045,佐野地区公民館,さのちくこうみんかん,佐野市金井上町2519,0283-24-5771,1,,490,36.31194135,139.5721851
佐野市,92045,佐野駅前交流プラザ(ぱるぽーと),さのえきまえこうりゅうぷらざ,佐野市若松町481-4,0283-27-0005,1,,170,36.31650656,139.5790368
佐野市,92045,植野小学校,うえのしょうがっこう,佐野市植上町1272,0283-23-0711,1,,"1,460",36.30062928,139.5764767
佐野市,92045,南中学校,みなみちゅうがっこう,佐野市植下町1205,0283-23-0869,1,,"1,530",36.29978379,139.5822009
佐野市,92045,旧船津川小学校,きゅうふなつがわしょうがっこう,佐野市船津川町6001,,1,,520,36.27101008,139.5658866
佐野市,92045,植野地区公民館,うえのちくこうみんかん,佐野市寺中町2297-1,0283-23-5421,1,,400,36.30157694,139.576127
佐野市,92045,界小学校,さかいしょうがっこう,佐野市馬門町1539,0283-23-0819,1,,940,36.28547026,139.5991744
佐野市,92045,界地区公民館,さかいちくこうみんかん,佐野市馬門町1510-1,0283-22-0400,1,,270,36.28532417,139.6011236
佐野市,92045,犬伏小学校,いぬぶししょうがっこう,佐野市犬伏下町1983,0283-23-0770,1,,"1,370",36.32429058,139.5990104
佐野市,92045,犬伏東小学校,いぬぶしひがししょうがっこう,佐野市伊勢山町1534,0283-24-2887,1,,"1,060",36.31785193,139.6108716
佐野市,92045,北中学校,きたちゅうがっこう,佐野市富岡町93,0283-23-0961,1,,"2,090",36.3213491,139.5897228
佐野市,92045,犬伏地区公民館,いぬぶしちくこうみんかん,佐野市犬伏下町1798,0283-23-8137,1,,440,36.32235559,139.6019011
佐野市,92045,城北小学校,じょうほくしょうがっこう,佐野市堀米町1156,0283-23-0319,1,,"1,660",36.32406189,139.5802484
佐野市,92045,城北地区公民館,じょうほくちくこうみんかん,佐野市堀米町1173,0283-24-5772,1,,420,36.32494459,139.579946
佐野市,92045,佐野武道館,さのぶどうかん,佐野市堀米町167-1,0283-21-0020,1,,390,36.32114586,139.5824034
佐野市,92045,旗川小学校,はたがわしょうがっこう,佐野市並木町964,0283-23-0178,1,,830,36.32441568,139.549946
佐野市,92045,旗川地区公民館,はたがわちくこうみんかん,佐野市並木町957-1,0283-22-0074,1,,260,36.32500653,139.5506572
佐野市,92045,吾妻小学校,あづましょうがっこう,佐野市上羽田町1369-1,0283-22-3992,1,,860,36.29672755,139.541326
佐野市,92045,教育センター,きょういくせんたー,佐野市上羽田町1134-1,0283-20-3108,1,,360,36.29552184,139.5413676
佐野市,92045,吾妻地区公民館,あづまちくこうみんかん,佐野市村上町9,0283-23-6903,1,,220,36.29580611,139.5402288
佐野市,92045,赤見小学校,あかみしょうがっこう,佐野市赤見町3229,0283-25-0704,1,,810,36.35272579,139.5401082
佐野市,92045,石塚小学校,いしづかしょうがっこう,佐野市石塚町1408-2,0283-25-0314,1,,"1,120",36.35521113,139.5609792
佐野市,92045,出流原小学校,いずるはらしょうがっこう,佐野市出流原町1038-1,0283-25-0324,1,,590,36.36430081,139.5404987
佐野市,92045,赤見中学校,あかみちゅうがっこう,佐野市出流原町628-1,0283-25-0804,1,,"1,340",36.3608915,139.5496496
佐野市,92045,赤見地区公民館,あかみちくこうみんかん,佐野市赤見町3082,0283-25-3014,1,,390,36.35195491,139.5391079
佐野市,92045,田沼小学校,たぬましょうがっこう,佐野市田沼町603,0283-62-0047,1,,"1,350",36.36621911,139.57661
佐野市,92045,田沼東中学校,たぬまひがしちゅうがっこう,佐野市栃本町2287,0283-62-3333,1,,"1,700",36.36390031,139.5798948
佐野市,92045,田沼中央公民館,たぬまちゅうおうこうみんかん,佐野市戸奈良町1-1,0283-61-1135,1,,870,36.37475709,139.5689779
佐野市,92045,田沼地区公民館,たぬまちくこうみんかん,佐野市栃本町2384-3,0283-62-5882,1,,130,36.3627703,139.5767284
佐野市,92045,吉水小学校,よしみずしょうがっこう,佐野市吉水町832,0283-62-0142,1,,840,36.35080851,139.5732688
佐野市,92045,新吉水地区コミュニティセンター,しんよしみずちくこみゅにてぃせんたー,佐野市吉水駅前1-19-6,0283-62-4211,1,,90,36.34755424,139.5772063
佐野市,92045,多田小学校,ただしょうがっこう,佐野市多田町998,0283-62-0179,1,,690,36.38121338,139.5971541
佐野市,92045,栃本小学校,とちもとしょうがっこう,佐野市栃本町1037,0283-62-0152,1,,560,36.36059031,139.5899054
佐野市,92045,栃本地区コミュニティセンター,とちもとちくこみゅにてぃせんたー,佐野市栃本町2047-5,0283-62-6045,1,,60,36.37786741,139.5577182
佐野市,92045,旧戸奈良小学校,きゅうとならしょうがっこう,佐野市戸奈良町1140,,1,,550,36.3985008,139.5708721
佐野市,92045,旧三好小学校,きゅうみよししょうがっこう,佐野市岩崎町1341,,1,,590,36.37994345,139.5712
佐野市,92045,あそ野学園義務教育学校,あそのがくえんぎむきょういくがっこう,佐野市戸室町156,0283-62-3111,1,,"1,290",36.39324807,139.5743427
佐野市,92045,三好生活改善センター,みよしせいかつかいぜんせんたー,佐野市戸室町1183,,1,,120,36.43661524,139.5389019
佐野市,92045,旧野上小学校,きゅうのがみしょうがっこう,佐野市長谷場町499,,1,,550,36.45939816,139.5214648
佐野市,92045,野上基幹集落センター,のがみきかんしゅうらくせんたー,佐野市白岩町486-1,0283-67-1233,1,,180,36.40099366,139.5208718
佐野市,92045,旧山形小学校,きゅうやまがたしょうがっこう,佐野市山形町649-2,,1,,550,36.4008148,139.5182801
佐野市,92045,新合総合センター,しんごうそうごうせんたー,佐野市閑馬町361-1,0283-65-0002,1,,200,36.45530333,139.4655603
佐野市,92045,遠原の里福祉センター,とおばらのさとふくしせんたー,佐野市閑馬町515-3,0283-65-7071,1,,40,36.4546576,139.4672095
佐野市,92045,旧飛駒小学校,きゅうひこましょうがっこう,佐野市飛駒町1497,,1,,560,36.38581464,139.6044403
佐野市,92045,飛駒基幹集落センター,ひこまきかんしゅうらくせんたー,佐野市飛駒町1576-2,0283-66-2002,1,,220,36.40441062,139.6086971
佐野市,92045,葛生南小学校,くずうみなみしょうがっこう,佐野市中町1104,0283-85-2101,1,,680,36.41089248,139.6106164
佐野市,92045,葛生小学校,くずうしょうがっこう,佐野市葛生西1-12-1,0283-85-2040,1,,970,36.40175364,139.6116068
佐野市,92045,葛生中学校,くずうちゅうがっこう,佐野市葛生西3-4-1,0283-85-2169,1,,"1,610",36.42297646,139.6272777
佐野市,92045,葛生地区公民館,くずうちくこうみんかん,佐野市葛生東1-11-15,0283-86-3414,1,,100,36.40245254,139.6138318
佐野市,92045,会沢地区コミュニティセンター,あいさわちくこみゅにてぃせんたー,佐野市会沢町681,0283-85-2069,1,,230,36.40793128,139.6049747
佐野市,92045,くずう保育園,くずうほいくえん,佐野市葛生東1-15-20,0283-85-2119,1,,300,36.43362274,139.5903727
佐野市,92045,葛生あくと福祉センター,くずうあくとふくしせんたー,佐野市あくと町3084,0283-86-4714,1,,510,36.43083198,139.5937933
佐野市,92045,常盤中学校,ときわちゅうがっこう,佐野市豊代町2167,0283-85-3020,1,,"1,140",36.3598796,139.5869285
佐野市,92045,常盤地区公民館,ときわちくこうみんかん,佐野市仙波町167,0283-85-3657,1,,180,36.38579318,139.5375096
佐野市,92045,氷室地区公民館,ひむろちくこうみんかん,佐野市水木846,0283-87-0004,1,,100,36.48640339,139.5434248
さくら市,9214,氏家小学校,うじいえしょうがっこう,栃木県さくら市氏家2491,028-686-6620,1,,1550,36.686453,139.962833
さくら市,9214,押上小学校,おしあげしょうがっこう,栃木県さくら市長久保814,028-686-6620,1,,930,36.714814,139.946636
さくら市,9214,上松山小学校,かみまつやましょうがっこう,栃木県さくら市氏家3496,028-686-6620,1,,150,36.707262,139.969356
さくら市,9214,熟田小学校,にいたしょうがっこう,栃木県さくら市狹間田1702,028-686-6620,1,,900,36.684995,140.00442
さくら市,9214,南小学校,みなみしょうがっこう,栃木県さくら市氏家1061-3,028-686-6620,1,,850,36.663587,139.962856
さくら市,9214,喜連川小学校,きつれがわしょうがっこう,栃木県さくら市喜連川3911,028-686-6620,1,,1400,36.720706,140.025808
さくら市,9214,鷲宿体育館,わしじゅくたいいくかん,栃木県さくら市鷲宿950,028-682-8888,1,,160,36.750106,139.98771
さくら市,9214,河戸体育館,こうとたいいくかん,栃木県さくら市上河戸1824-2,028-682-8888,1,,130,36.773815,140.003131
さくら市,9214,金鹿体育館,きんかたいいくかん,栃木県さくら市金枝1243-3,028-682-8888,1,,160,36.73466,140.049325
さくら市,9214,穂積体育館,ほづみたいいくかん,栃木県さくら市穂積478,028-682-8888,1,,120,36.762246,140.063269
さくら市,9214,氏家中学校,うじいえちゅうがっこう,栃木県さくら市氏家3243,028-686-6620,1,,2200,36.700721,139.969559
さくら市,9214,喜連川中学校,きつれがわちゅうがっこう,栃木県さくら市喜連川5691,028-686-6620,1,,1200,36.73175,140.033021
さくら市,9214,さくら清修高等学校,さくらせいしゅうこうとうがっこう,栃木県さくら市氏家2807,028-682-4500,1,,2400,36.689564,139.965391
さくら市,9214,氏家公民館,うじいえこうみんかん,栃木県さくら市櫻野1322-8,028-682-1611,1,,600,36.685059,139.968571
さくら市,9214,葛城公民館,かつらぎこうみんかん,栃木県さくら市葛城1455-1,028-681-1111,1,,20,36.705627,140.038206
さくら市,9214,早乙女公民館,そおとめこうみんかん,栃木県さくら市早乙女860,028-681-1111,1,,30,36.715256,140.006747
さくら市,9214,松田多目的集会施設,まつだたもくてきしゅうかいしせつ,栃木県さくら市喜連川2489-1,028-681-1111,1,,20,36.737667,140.008799
さくら市,9214,西河原公民館,にしがわらこうみんかん,栃木県さくら市喜連川2965-1,028-681-1111,1,,20,36.733493,140.002849
さくら市,9214,下河戸南多目的集会施設,しもこうとみなみたもくてきしゅうかいしせつ,栃木県さくら市下河戸328-2,028-681-1111,1,,30,36.759939,140.01881
さくら市,9214,氏家体育館,うじいえたいいくかん,栃木県さくら市氏家2730,028-682-8888,1,,720,36.686043,139.968921
さくら市,9214,氏家図書館,うじいえとしょかん,栃木県さくら市櫻野1321,028-682-9889,1,,210,36.68494,139.967718
さくら市,9214,氏家保健センター,うじいえほけんせんたー,栃木県さくら市櫻野1319-3,028-682-2589,1,,150,36.684645,139.967488
さくら市,9214,喜連川保健センター,きつれがわほけんせんたー,栃木県さくら市喜連川807-8,028-686-1088,1,,190,36.723101,140.030847
さくら市,9214,氏家福祉センター,うじいえふくしせんたー,栃木県さくら市櫻野1329,028-682-9888,1,,150,36.686554,139.970254
さくら市,9214,あおぞら保育園,あおぞらほいくえん,栃木県さくら市草川42,028-681-1125,1,,250,36.681757,139.954236
さくら市,9214,たいよう保育園,たいようほいくえん,栃木県さくら市松山796-1,028-681-1125,1,,230,36.700098,140.001166
さくら市,9214,ふれあい保育園,ふれあいほいくえん,栃木県さくら市氏家3263-5,028-681-1125,1,,70,36.705914,139.962404
さくら市,9214,わくわく保育園,わくわくほいくえん,栃木県さくら市喜連川837-1,028-681-1125,1,,200,36.722488,140.031016
さくら市,9214,女性アグリセンター,じょせいあぐりせんたー,栃木県さくら市箱森新田157,028-682-9959,1,,90,36.716043,139.968882
さくら市,9214,かんぽの宿栃木喜連川温泉,かんぽのやどとちぎきつれがわおんせん,栃木県さくら市喜連川5296-1,028-686-2822,1,,560,36.721395,140.01314
さくら市,9214,道の駅きつれがわ,みちのえききつれがわ,栃木県さくら市喜連川4145-10,028-686-8180,1,,230,36.715499,140.032636
さくら市,9214,旧喜連川高等学校跡地,きゅうきつれがわこうとうがっこうあとち,栃木県さくら市喜連川561,028-681-1122,1,,1700,36.721491,140.035079
上三川町,93017,上三川町立本郷小学校,ほんごうしょうがっこう,東蓼沼251番地,285569157,1,,710,36.45984468,139.9381553
上三川町,93017,上三川町立本郷北小学校,ほんごうきたしょうがっこう,西汗1585番地,285569157,1,,680,36.47658985,139.9224865
上三川町,93017,上三川町立上三川小学校,かみのかわしょうがっこう,上三川4594番地,285569157,1,,1140,36.43426374,139.9095422
上三川町,93017,上三川町立坂上小学校,さかうえしょうがっこう,坂上628番地,285569157,1,,550,36.41126925,139.9140594
上三川町,93017,上三川町立北小学校,きたしょうがっこう,上蒲生1725番地,285569157,1,,710,36.45717482,139.9019863
上三川町,93017,上三川町立明治小学校,めいじしょうがっこう,大山524番地,285569157,1,,840,36.44277004,139.8809637
上三川町,93017,上三川町立明治南小学校,めいじみなみしょうがっこう,多功1412番地,285569157,1,,770,36.42779949,139.8798256
上三川町,93017,上三川町立本郷中学校,ほんごうちゅうがっこう,東汗520番地,285569157,1,,740,36.46828839,139.9361774
上三川町,93017,上三川町立上三川中学校,かみのかわちゅうがっこう,上三川4279番地,285569157,1,,1010,36.42777001,139.9090508
上三川町,93017,上三川町立明治中学校,めいじちゅうがっこう,大山25番地,285569157,1,,910,36.44243723,139.8885659
上三川町,93017,上三川町役場,かみのかわまちやくば,しらさぎ一丁目1番地,285569114,1,,410,36.43925736,139.9102891
上三川町,93017,上三川町中央公民館,ちゅうおうこうみんかん,上三川3970番地,285569159,1,,240,36.42481753,139.9077066
上三川町,93017,上三川町体育センター,たいいくせんたー,上三川4270番地,285569159,1,,770,36.42674508,139.9070399
上三川町,93017,上三川町立図書館,としょかん,上三川5040番地,285569159,1,,280,36.43438329,139.9140168
上三川町,93017,上三川いきいきプラザ,いきいきぷらざ,上蒲生127番地1,285569128,1,1,780,36.43712452,139.9094004
上三川町,93017,上三川ふれあいの家ひまわり,ふれあいのいえひまわり,上三川5082番地15,285569128,1,,310,36.43667199,139.9164637
上三川町,93017,上三川町農村環境改善センター,のうそんかんきょうかいぜんせんたー,上郷2140番地,285569136,1,,460,36.45518115,139.9219569
下野市,92169,国分寺公民館,こくぶんじこうみんかん,下野市小金井1127 ,0285-40-5563 ,1,,140,36.38738904,139.8414823
下野市,92169,国分寺東小学校,こくぶんじひがししょうがっこう,下野市柴897-1 ,0285-44-3161 ,1,,400,36.3723304,139.8495758
下野市,92169,旧国分寺西小学校,きゅうこくぶんじにししょうがっこう,下野市川中子3278 ,0285-44-0131 ,1,,360,36.3919627,139.8189099
下野市,92169,国分寺武道館,こくぶんじぶどうかん,下野市駅東7-3-13 ,0285-32-8920 ,1,,70,36.3698112,139.8447735
下野市,92169,国分寺東児童館,こくぶんじひがしじどうかん,下野市駅東7-4-1 ,0285-44-2604 ,1,,40,36.3709005,139.8445021
下野市,92169,コミュニティセンター友愛館,こみゅにてぃせんたーゆうあいかん,下野市柴1019-1 ,0285-40-8111 ,1,,100,36.3706224,139.8512258
下野市,92169,国分寺小学校,こくぶんじしょうがっこう,下野市小金井4-2-3 ,0285-44-0004 ,1,,400,36.38092519,139.8410003
下野市,92169,国分寺中学校,こくぶんじちゅうがっこう,下野市小金井4-1-8 ,0285-44-0050 ,1,,"1,150",36.3801679,139.8393399
下野市,92169,国分寺Ｂ＆Ｇ海洋センター体育館,こくぶんじびーあんどじーかいようせんたーたいいくかん,下野市小金井277-2 ,0285-44-5131 ,1,,430,36.3842477,139.8361704
下野市,92169,国分寺駅西児童館,こくぶんじえきにしじどうかん,下野市小金井5-22-1 ,0285-44-0786 ,1,,60,36.3767322,139.8362208
下野市,92169,国分寺聖武館,こくぶんじしょうむかん,下野市国分寺628-2 ,0285-32-8920 ,1,,340,36.3855107,139.8113164
下野市,92169,保健福祉センターゆうゆう館,ほけんふくしせんたーゆうゆうかん,下野市小金井789 ,0285-43-1232 ,1,1,790,36.385259,139.837584
下野市,92169,スポーツ交流館,すぽーつこうりゅうかん,下野市大松山1-7-1 ,0285-52-1124 ,1,,120,36.43201406,139.8576549
下野市,92169,石橋北小学校,いしばしきたしょうがっこう,下野市上古山1932 ,0285-52-1134 ,1,,360,36.4654416,139.8600567
下野市,92169,古山小学校,こやましょうがっこう,下野市下古山3-1-9 ,0285-52-1132 ,1,,300,36.4452518,139.8590829
下野市,92169,石橋高等学校,いしばしこうとうがっこう,下野市石橋845 ,0285-53-2517 ,1,,980,36.4388719,139.8579834
下野市,92169,石橋小学校,いしばししょうがっこう,下野市花の木1-4 ,0285-52-1131 ,1,,410,36.43193276,139.8622376
下野市,92169,石橋体育センター,いしばしたいいくせんたー,下野市大松山1-7-1 ,0285-52-1124 ,1,,820,36.431781,139.8572365
下野市,92169,石橋中学校,いしばしちゅうがっこう,下野市石橋1130 ,0285-52-1130 ,1,,730,36.4383938,139.8455148
下野市,92169,細谷小学校,ほそやしょうがっこう,下野市細谷693 ,0285-52-1133 ,1,,250,36.425867,139.8314716
下野市,92169,石橋図書館,いしばしとしょかん,下野市大松山1-7-3 ,0285-52-1136 ,1,,250,36.4306977,139.8562783
下野市,92169,グリムの館,ぐりむのやかた,下野市下古山747 ,0285-52-1180 ,1,,230,36.4490598,139.8587327
下野市,92169,保健福祉センターきらら館,ほけんふくしせんたーきららかん,下野市下古山1220 ,0285-52-3711 ,1,1,700,36.445081,139.843574
下野市,92169,ふれあいセンター,ふれあいせんたー,下野市下長田146 ,0285-52-1184 ,1,,90,36.4500148,139.8420561
下野市,92169,ふれあい館,ふれあいかん,下野市三王山698-5 ,0285-47-1126 ,1,1,620,36.39762,139.903012
下野市,92169,南河内公民館,みなみかわちこうみんかん,下野市田中681-1 ,0285-48-2393 ,1,,330,36.3847294,139.8775953
下野市,92169,緑小学校,みどりしょうがっこう,下野市緑3-16-1 ,0285-40-6601 ,1,,450,36.3870173,139.8562467
下野市,92169,祇??園小学校,ぎおんしょうがっこう,下野市祇??園2-21-3 ,0285-44-5002 ,1,,450,36.3937804,139.8624515
下野市,92169,南河内体育センター,みなみかわちたいいくせんたー,下野市仁良川1141 ,0285-48-2392 ,1,,730,36.38433665,139.8782979
下野市,92169,仁良川コミュニティセンター,にらがわこみゅにてぃせんたー,下野市仁良川1468 ,0285-32-8887,1,,90,36.3770445,139.8771956
下野市,92169,南河内中学校,みなみかわちちゅうがっこう,下野市薬師寺986 ,0285-48-0010 ,1,,760,36.3867957,139.8762369
下野市,92169,薬師寺小学校,やくしじしょうがっこう,下野市薬師寺1412 ,0285-48-0009 ,1,,480,36.3950834,139.8770643
下野市,92169,吉田東小学校,よしだひがししょうがっこう,下野市中川島7 ,0285-48-5007 ,1,,450,36.3825724,139.910253
下野市,92169,南河内東体育館,みなみかわちひがしたいいくかん,下野市本吉田783 ,0285-32-8920,1,,400,36.3742431,139.90902
下野市,92169,南河内東公民館,みなみかわちひがしこうみんかん,下野市本吉田783 ,0285-48-5511 ,1,,200,36.37453033,139.9094009
下野市,92169,吉田西小学校,よしだにししょうがっこう,下野市下坪山959 ,0285-48-5008 ,1,,450,36.3677684,139.888831
下野市,92169,南河内第二中学校,みなみかわちだいにちゅうがっこう,下野市祇??園4-16-3 ,0285-40-6030 ,1,,800,36.389992,139.8601768
下野市,92169,薬師寺コミュニティセンター,やくしじこみゅにてぃせんたー,下野市薬師寺1387-25 ,0285-48-5522 ,1,,100,36.39549777,139.8740229
下野市,92169,上三川高等学校,かみのかわこうとうがっこう,栃木県河内郡上三川町大字多功994-4 ,0285-53-2367 ,1,,960,36.416008,139.869641
塩谷町,93840,塩谷町立玉生小学校,しおやちょうりつたまにゅうしょうがっこう,栃木県塩谷町大字玉生395,0287-48-7501,,,2418,36.77693091,139.849247
塩谷町,93840,日々輝学園高等学校開桜館,ひびきがくえんこうとうがっこうかいおうかん,栃木県塩谷町大字大宮2579-1,0287-45-1111,,,3802,36.750633,139.871034
塩谷町,93840,塩谷町立塩谷中学校,しおやちょうりつしおやちゅうがっこう,栃木県塩谷町大字飯岡1248,0287-48-7501,,,5341,36.762386,139.840061
塩谷町,93840,星ふる学校くまの木,ほしふるがっこうくまのき,栃木県塩谷町大字熊ノ木802,0287-45-0061,,,551,36.7948749,139.8562568
塩谷町,93840,自然休養村センター,しぜんきゅうようそんせんたー,栃木県塩谷町大字熊ノ木987-2,0287-45-2211,,,643,36.791636,139.854249
塩谷町,93840,認定しおやこども園,にんていしおやこどもえん,栃木県塩谷町大字玉生1057-83,0287-45-1119,,,471,36.781943,139.857336
塩谷町,93840,尚仁沢はーとらんど,しょうじんざわはーとらんど,栃木県塩谷町大字上寺島1618-4,0287-41-1080,,,296,36.82284523,139.8219943
